run_id,display_name,method_name,dataset_group,tables,num_train_images,num_test_images,top1_accuracy,top5_accuracy,overall_accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,training_time_seconds,inference_time_seconds,best_epoch,best_val_accuracy,hardware,predictions,scores,runtime
sift_bovw_svm,SIFT + BoVW + SVM,sift_bovw_svm,limited,main,20000,5000,0.0294,0.0802,0.0294,0.029400000000000003,0.021599176545476193,0.029400000000000003,0.022591790376892334,117.52,92.72,,,macOS CPU,traditional/sift_bovw_svm/sift_predictions.csv,traditional/sift_bovw_svm/sift_scores.npz,traditional/sift_bovw_svm/sift_runtime.json
hog_random_forest,HOG + Random Forest,hog_random_forest,limited,main,20000,5000,0.0138,0.0526,0.0138,0.013800000000000002,0.011921462082398275,0.013800000000000002,0.008850209903875875,686.71,37.32,,,macOS CPU,traditional/hog_random_forest/hog_predictions.csv,traditional/hog_random_forest/hog_scores.npz,traditional/hog_random_forest/hog_runtime.json
scratch_no_aug,Scratch (no augmentation),resnet18_scratch_no_aug,limited,scratch_ablation,20000,5000,0.2262,0.4438,0.2262,0.2262,0.24368549088644864,0.2262,0.22521979628588168,887.3639789829031,6.106044170446694,23.0,0.2298,NVIDIA L40S,scratch/resnet18_scratch_no_aug/predictions.csv,scratch/resnet18_scratch_no_aug/scores.npz,scratch/resnet18_scratch_no_aug/runtime.json
scratch_basic_aug,Scratch (basic augmentation),resnet18_scratch_basic_aug,limited,scratch_ablation,20000,5000,0.3176,0.5742,0.3176,0.31760000000000005,0.3319259804455726,0.31760000000000005,0.3144028544467053,863.762278072536,21.063318910077214,29.0,0.3346,NVIDIA L40S,scratch/resnet18_scratch_basic_aug/predictions.csv,scratch/resnet18_scratch_basic_aug/scores.npz,scratch/resnet18_scratch_basic_aug/runtime.json
scratch_strong_aug,Scratch (strong augmentation),resnet18_scratch_strong_aug_rerun_30epoch,limited,scratch_ablation,20000,5000,0.3144,0.5636,0.3144,0.31439999999999996,0.31489045448800457,0.31439999999999996,0.301367527486354,1553.3343592999736,21.00875282700872,28.0,0.318,NVIDIA L40S,scratch/resnet18_scratch_strong_aug_rerun_30epoch/predictions.csv,scratch/resnet18_scratch_strong_aug_rerun_30epoch/scores.npz,scratch/resnet18_scratch_strong_aug_rerun_30epoch/runtime.json
scratch_basic_aug_sgd,"Scratch (basic aug., 100-epoch SGD)",resnet18_scratch_basic_aug_sgd,limited,"main,scratch_ablation",20000,5000,0.3794,0.6124,0.3794,0.37939999999999996,0.3925449201383412,0.37939999999999996,0.37511498506033875,4330.73727057036,22.585460605099797,91.0,0.391,Tesla V100-SXM2-32GB,scratch/resnet18_scratch_basic_aug_sgd/predictions.csv,scratch/resnet18_scratch_basic_aug_sgd/scores.npz,scratch/resnet18_scratch_basic_aug_sgd/runtime.json
transfer_frozen,Pretrained ResNet18 (frozen),resnet18_pretrained_frozen,limited,"main,transfer_ablation",20000,5000,0.5388,0.7668,0.5388,0.5388,0.5552905601192754,0.5388,0.5355043059201828,557.7945545000257,13.90293430001475,15.0,0.5404,NVIDIA GeForce RTX 5070 Ti Laptop GPU,transfer/resnet18_pretrained_frozen/predictions.csv,transfer/resnet18_pretrained_frozen/scores.npz,transfer/resnet18_pretrained_frozen/runtime.json
transfer_finetuned,Pretrained ResNet18 (fine-tuned),resnet18_pretrained_finetuned,limited,"main,transfer_ablation",20000,5000,0.6624,0.8582,0.6624,0.6624000000000001,0.6825158534190269,0.6624000000000001,0.6620301298160315,725.7413166000042,12.822332000010647,15.0,0.6632,NVIDIA GeForce RTX 5070 Ti Laptop GPU,transfer/resnet18_pretrained_finetuned/predictions.csv,transfer/resnet18_pretrained_finetuned/scores.npz,transfer/resnet18_pretrained_finetuned/runtime.json
transfer_regularized,Fine-tuned + regularization,resnet18_pretrained_finetuned,limited,transfer_ablation,20000,5000,0.652,0.8542,0.652,0.652,0.6717033507342332,0.652,0.6510663334476904,711.4352917000069,13.917071899981238,14.0,0.6602,NVIDIA GeForce RTX 5070 Ti Laptop GPU,transfer/resnet18_pretrained_finetuned_regularized_extra/predictions.csv,transfer/resnet18_pretrained_finetuned_regularized_extra/scores.npz,transfer/resnet18_pretrained_finetuned_regularized_extra/runtime.json
transfer_attention,Fine-tuned + self-attention,resnet18_pretrained_finetuned_attention_extra,limited,transfer_ablation,20000,5000,0.6208,0.8282,0.6208,0.6208,0.6406776098342661,0.6208,0.6204186599229201,756.7522917999886,13.975783300003968,13.0,0.6394,NVIDIA GeForce RTX 5070 Ti Laptop GPU,transfer/resnet18_pretrained_finetuned_attention_extra/predictions.csv,transfer/resnet18_pretrained_finetuned_attention_extra/scores.npz,transfer/resnet18_pretrained_finetuned_attention_extra/runtime.json
full_scratch,Full-data Scratch ResNet18,resnet18_scratch_full_basic_aug,full_data,full_data,129378,5000,0.642,0.8476,0.642,0.642,0.6628681400299047,0.642,0.640155237090126,1295.0048135658726,13.725683744996786,15.0,0.65,NVIDIA L40S,full_data/resnet18_scratch_full_basic_aug/predictions.csv,full_data/resnet18_scratch_full_basic_aug/scores.npz,full_data/resnet18_scratch_full_basic_aug/runtime.json
full_finetuned,Full-data Fine-tuned ResNet18,resnet18_pretrained_finetuned,full_data,full_data,129378,5000,0.8158,0.937,0.8158,0.8158000000000001,0.8291775982187747,0.8158000000000001,0.8153258686483347,1351.6783515289426,5.274999314919114,13.0,0.8144,NVIDIA L40S,full_data/resnet18_pretrained_finetuned/predictions.csv,full_data/resnet18_pretrained_finetuned/scores.npz,full_data/resnet18_pretrained_finetuned/runtime.json
